course_id;employee_id;pass_frac;start_dt;last_activity_dt;end_dt;educ_duration_days
24;53ed35c7-4a2e-c275-b837-374f04396c03;1.0000000000;2023-01-30 00:00:00;2023-02-05 00:00:00;2023-02-05 00:00:00;6.0000000000
83;202cb962-ac59-075b-964b-07152d234b70;1.0000000000;2023-08-29 00:00:00;2023-09-10 00:00:00;2023-09-10 00:00:00;12.0000000000
4;05f971b5-ec19-6b8c-65b7-5d2ef8267331;1.0000000000;2023-07-29 00:00:00;2023-08-09 00:00:00;2023-08-09 00:00:00;11.0000000000
79;f4a331b7-a22d-1b23-7565-d8813a34d8ac;1.0000000000;2023-05-30 00:00:00;2023-06-09 00:00:00;2023-06-09 00:00:00;10.0000000000
6;aba3b6fd-5d18-6d28-e06f-f97135cade7f;1.0000000000;2023-07-12 00:00:00;2023-07-22 00:00:00;2023-07-22 00:00:00;10.0000000000
67;7e3b7a5b-afcb-0fa8-e8df-e3ea6aca9186;1.0000000000;2023-06-19 00:00:00;2023-06-25 00:00:00;2023-06-25 00:00:00;6.0000000000
43;571d3a94-20bf-d921-9f65-b643d0003bf4;1.0000000000;2023-09-09 00:00:00;2023-09-23 00:00:00;2023-09-23 00:00:00;14.0000000000
46;03afdbd6-6e79-29b1-25f8-597834fa83a4;1.0000000000;2023-07-03 00:00:00;2023-07-12 00:00:00;2023-07-12 00:00:00;9.0000000000
91;6c1da886-822c-6782-2bcf-3679d04369fa;1.0000000000;2023-06-28 00:00:00;2023-07-15 00:00:00;2023-07-15 00:00:00;17.0000000000
35;9f62b862-5f91-4a00-2496-335037e9ad97;1.0000000000;2023-06-19 00:00:00;2023-06-23 00:00:00;2023-06-23 00:00:00;4.0000000000
55;00ac8ed3-b432-7bdd-4ebb-ebcb2ba10a00;0.1000000000;2023-07-04 00:00:00;2023-07-08 00:00:00;;
63;99adff45-6950-dd96-29a5-260c4de21858;1.0000000000;2023-07-06 00:00:00;2023-07-12 00:00:00;2023-07-12 00:00:00;6.0000000000
60;2d969e2c-ee8c-fa07-ce7c-a0bb13c7a36d;1.0000000000;2023-07-18 00:00:00;2023-07-25 00:00:00;2023-07-25 00:00:00;7.0000000000
7;68d30a95-9472-8bc3-9aa2-4be94b319d21;0.5500000000;2023-06-29 00:00:00;2023-07-05 00:00:00;;
68;dc40b712-0e77-741d-191c-0d2b82cea7be;1.0000000000;2023-05-16 00:00:00;2023-05-28 00:00:00;2023-05-28 00:00:00;12.0000000000
20;426f990b-332e-f819-3a61-cc90516c1245;1.0000000000;2023-04-15 00:00:00;2023-04-25 00:00:00;2023-04-25 00:00:00;10.0000000000
55;daa96d96-81a2-1445-7724-54cbddf0cac1;1.0000000000;2023-08-03 00:00:00;2023-08-13 00:00:00;2023-08-13 00:00:00;10.0000000000
0;f442d33f-a068-3208-2290-ad8544a8da27;1.0000000000;2023-03-23 00:00:00;2023-03-30 00:00:00;2023-03-30 00:00:00;7.0000000000
8;f516dfb8-4b90-51ed-85b8-9cdc3a8ab7f5;1.0000000000;2023-02-18 00:00:00;2023-03-02 00:00:00;2023-03-02 00:00:00;12.0000000000
7;6766aa27-50c1-9aad-2fa1-b32f36ed4aee;1.0000000000;2023-02-08 00:00:00;2023-02-21 00:00:00;2023-02-21 00:00:00;13.0000000000
4;9ac403da-7947-a183-884c-18a67d3aa8de;0.7500000000;2023-10-28 00:00:00;2023-11-03 00:00:00;;
29;1f1baa5b-8eda-c74e-b4ea-a329f14a0361;0.9000000000;2023-06-07 00:00:00;2023-06-13 00:00:00;;
8;091d584f-ced3-01b4-4265-4dd8c23b3fc9;0.9000000000;2023-02-22 00:00:00;2023-03-02 00:00:00;;
67;daa96d96-81a2-1445-7724-54cbddf0cac1;1.0000000000;2023-03-16 00:00:00;2023-03-30 00:00:00;2023-03-30 00:00:00;14.0000000000
8;2d969e2c-ee8c-fa07-ce7c-a0bb13c7a36d;1.0000000000;2023-03-01 00:00:00;2023-03-08 00:00:00;2023-03-08 00:00:00;7.0000000000
20;cee63112-1c2e-c923-2f3a-2f028ad5c89b;1.0000000000;2023-05-28 00:00:00;2023-06-04 00:00:00;2023-06-04 00:00:00;7.0000000000
34;8aec5142-2b30-d61b-ce07-8b27f0babeb1;1.0000000000;2023-06-27 00:00:00;2023-07-11 00:00:00;2023-07-11 00:00:00;14.0000000000
59;acf4b89d-3d50-3d82-52c9-c4ba75ddbf6d;1.0000000000;2023-07-31 00:00:00;2023-08-08 00:00:00;2023-08-08 00:00:00;8.0000000000
84;61b4a64b-e663-682e-8cb0-37d9719ad8cd;0.6000000000;2023-09-01 00:00:00;2023-09-03 00:00:00;;
71;0336dcba-b05b-9d5a-d24f-4333c7658a0e;0.7000000000;2023-05-22 00:00:00;2023-05-28 00:00:00;;
18;01882513-d5fa-7c32-9e94-0dda99b12147;1.0000000000;2023-04-25 00:00:00;2023-05-10 00:00:00;2023-05-10 00:00:00;15.0000000000
88;3f088ebe-da03-513b-e71d-34d214291986;1.0000000000;2023-09-04 00:00:00;2023-09-17 00:00:00;2023-09-17 00:00:00;13.0000000000
87;29530de2-1430-b754-0ec3-f65135f7323c;1.0000000000;2023-06-26 00:00:00;2023-07-06 00:00:00;2023-07-06 00:00:00;10.0000000000
6;d10ec7c1-6cbe-9de8-fbb1-c42787c3ec26;1.0000000000;2023-06-03 00:00:00;2023-06-12 00:00:00;2023-06-12 00:00:00;9.0000000000
43;8c249675-aea6-c3cb-d916-61bbae767ff1;0.5000000000;2023-04-22 00:00:00;2023-04-28 00:00:00;;
90;f197002b-9a08-53ec-a5e0-46d9ca4663d5;1.0000000000;2023-01-11 00:00:00;2023-01-19 00:00:00;2023-01-19 00:00:00;8.0000000000
76;d3957710-85aa-b052-44a4-fb8fd91bf4ee;1.0000000000;2023-04-24 00:00:00;2023-05-03 00:00:00;2023-05-03 00:00:00;9.0000000000
41;4d6e4749-289c-4ec5-8c00-63a90deb3964;0.4000000000;2023-04-21 00:00:00;2023-04-26 00:00:00;;
43;d7a84628-c025-d30f-7b2c-52c958767e76;1.0000000000;2023-05-30 00:00:00;2023-06-08 00:00:00;2023-06-08 00:00:00;9.0000000000
43;1efa39bc-aec6-f390-0149-160693694536;0.1500000000;2023-03-22 00:00:00;2023-03-27 00:00:00;;
30;f770b62b-c8f4-2a0b-6675-1fe636fc6eb0;1.0000000000;2023-08-26 00:00:00;2023-09-04 00:00:00;2023-09-04 00:00:00;9.0000000000
35;9bb6dee7-3b8b-0ca9-7466-ccb24fff3139;1.0000000000;2023-03-26 00:00:00;2023-04-01 00:00:00;2023-04-01 00:00:00;6.0000000000
37;41a60377-ba92-0919-939d-83326ebee5a1;0.9000000000;2023-03-26 00:00:00;2023-03-28 00:00:00;;
91;3214a6d8-42cc-6959-7f9e-df26df552e43;1.0000000000;2023-03-17 00:00:00;2023-03-27 00:00:00;2023-03-27 00:00:00;10.0000000000
81;8065d07d-a4a7-7621-450a-a84fee5656d9;0.4500000000;2023-06-08 00:00:00;2023-06-13 00:00:00;;
70;97e8527f-eaf7-7a97-fc38-f34216141515;1.0000000000;2023-02-12 00:00:00;2023-02-24 00:00:00;2023-02-24 00:00:00;12.0000000000
